attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Phishing,API,Success,2024-05-14 23:08:39.084358,37.242.251.183,156.8.49.45,69.43,259,Endpoint Detection,External User,Russia,1,Finance,174,Containment
DDoS,User Account,Success,2024-03-10 05:05:48.084361,67.162.134.88,226.55.65.25,45.09,285,VPN,Contractor,France,2,Retail,147,Quarantine
Phishing,Cloud Service,Failure,2024-09-01 17:54:48.084364,206.41.18.42,206.32.191.58,95.46,99,Antivirus,Employee,Brazil,4,Healthcare,138,Containment
Ransomware,API,Success,2023-09-09 17:00:06.084367,15.225.22.119,141.254.233.6,93.05,192,Antivirus,Admin,Canada,4,Retail,128,Block IP
Ransomware,Web Server,Failure,2023-11-02 03:12:55.084370,195.5.99.229,141.227.104.48,2.66,293,SIEM,Contractor,Brazil,5,Energy,74,Patch
SQL Injection,Email Server,Success,2024-07-31 00:27:00.084373,224.97.198.11,59.28.214.165,34.48,249,Firewall,Admin,UK,10,Finance,39,Block IP
SQL Injection,IoT Device,Success,2023-12-19 04:01:31.084376,19.121.19.26,53.244.121.254,15.68,57,Endpoint Detection,External User,India,7,Education,135,Quarantine
Cross-Site Scripting,IoT Device,Success,2023-09-19 15:14:16.084379,161.162.180.126,44.203.68.34,50.11,195,MFA,Contractor,USA,5,Education,77,Reset Credentials
Malware,Database,Success,2024-05-29 07:33:59.084382,212.19.100.6,82.200.57.243,68.93,167,WAF,Employee,France,8,Finance,111,Block IP
Zero-Day Exploit,User Account,Success,2023-11-04 04:16:55.084385,4.45.1.44,115.207.249.140,28.5,210,Firewall,External User,UK,1,Government,102,Containment
Brute Force,User Account,Success,2024-01-10 23:36:08.084388,253.40.37.52,155.169.78.131,9.72,232,MFA,External User,Brazil,2,Retail,148,Block IP
Phishing,Web Server,Failure,2024-07-10 03:24:15.084391,29.179.137.170,98.25.165.110,19.28,1,IDS,Admin,USA,4,Healthcare,179,Quarantine
Brute Force,Email Server,Failure,2023-10-10 07:22:41.084394,31.8.121.75,153.175.241.243,21.76,211,Antivirus,External User,Canada,7,Education,175,Patch
Brute Force,Email Server,Failure,2024-01-05 12:12:02.084397,163.151.152.190,246.255.6.113,21.67,33,IDS,Contractor,India,2,Healthcare,118,Quarantine
Phishing,Email Server,Success,2024-05-04 15:37:13.084400,139.161.21.30,17.28.85.159,69.7,218,VPN,Contractor,UK,7,Healthcare,104,Quarantine
Malware,IoT Device,Success,2023-12-31 23:02:26.084403,138.61.102.82,21.69.95.200,6.26,88,Endpoint Detection,Admin,Russia,9,Government,37,Patch
Ransomware,User Account,Failure,2024-05-08 14:37:46.084406,60.50.163.219,170.151.241.172,49.11,8,WAF,Admin,Australia,4,Government,65,Reset Credentials
Phishing,API,Success,2024-04-04 00:21:54.084409,183.145.199.128,219.125.46.104,12.28,92,MFA,Employee,Germany,6,Healthcare,35,Patch
Cross-Site Scripting,User Account,Failure,2024-06-23 13:40:23.084412,199.200.141.73,101.172.182.122,4.41,59,Antivirus,Contractor,Australia,10,Energy,22,Reset Credentials
Malware,API,Success,2024-05-18 14:15:07.084415,161.79.33.106,19.57.27.105,51.49,196,MFA,External User,UK,3,Education,26,Block IP
SQL Injection,API,Success,2024-01-21 22:59:32.084418,205.1.55.22,52.55.176.75,95.85,236,IDS,Admin,Germany,4,Retail,51,Quarantine
Cross-Site Scripting,API,Success,2024-01-12 05:29:09.084421,156.192.81.17,41.181.14.19,32.54,108,Antivirus,Contractor,Germany,1,Healthcare,104,Quarantine
SQL Injection,Cloud Service,Failure,2023-10-15 19:54:41.084424,22.41.209.63,52.230.17.239,64.45,121,Antivirus,Contractor,UK,1,Technology,124,Block IP
Zero-Day Exploit,API,Success,2023-10-10 10:08:08.084427,131.203.222.55,219.99.204.73,31.44,176,IDS,Admin,France,6,Healthcare,95,Patch
Ransomware,Web Server,Failure,2023-10-29 09:11:18.084430,180.147.26.3,61.101.178.104,49.47,7,Firewall,External User,UK,10,Education,140,Patch
Ransomware,Cloud Service,Success,2024-04-16 09:16:18.084433,215.218.60.158,165.227.18.44,59.11,195,Antivirus,Contractor,Germany,1,Finance,7,Block IP
Phishing,User Account,Success,2023-12-19 23:02:53.084436,132.167.114.161,76.99.161.228,57.13,125,WAF,Contractor,Germany,1,Government,102,Patch
Cross-Site Scripting,Database,Failure,2024-02-20 04:54:14.084441,230.68.142.98,46.120.47.250,95.27,109,Firewall,Admin,USA,10,Government,49,Patch
Brute Force,Database,Failure,2024-03-24 13:32:33.084444,89.67.148.84,81.104.239.88,62.59,146,IDS,Employee,USA,9,Education,46,Quarantine
Zero-Day Exploit,IoT Device,Failure,2024-08-11 14:40:28.084447,217.61.15.124,180.77.242.190,53.82,165,SIEM,Contractor,Brazil,9,Education,118,Patch
Cross-Site Scripting,API,Failure,2024-07-30 08:59:52.084450,85.213.81.14,173.136.78.148,41.1,179,Antivirus,External User,Canada,3,Healthcare,135,Patch
Zero-Day Exploit,Database,Failure,2023-12-02 23:19:18.084453,165.0.193.217,19.228.209.85,53.65,162,Antivirus,Admin,Russia,6,Government,44,Containment
SQL Injection,Network Switch,Success,2024-01-07 08:42:42.084455,224.53.95.87,133.18.225.111,73.32,43,Firewall,Contractor,Australia,2,Retail,166,Reset Credentials
Malware,IoT Device,Success,2024-08-24 01:17:17.084458,216.82.234.14,4.183.56.78,92.19,46,SIEM,Contractor,USA,1,Energy,154,Patch
Zero-Day Exploit,Database,Failure,2024-07-20 08:58:43.084461,197.88.247.12,155.193.181.152,73.76,28,Firewall,Contractor,UK,1,Energy,161,Patch
SQL Injection,Database,Success,2023-10-08 10:40:31.084464,96.237.175.216,145.143.248.133,40.56,157,WAF,External User,UK,4,Healthcare,119,Block IP
Brute Force,Network Switch,Failure,2023-09-27 20:26:45.084467,106.147.20.145,158.191.28.255,56.83,38,MFA,Contractor,Russia,6,Education,22,Quarantine
Cross-Site Scripting,Web Server,Success,2024-06-19 05:30:01.084470,207.70.179.156,75.80.3.16,71.41,122,VPN,External User,USA,2,Education,104,Quarantine
DDoS,Email Server,Success,2023-11-25 02:34:06.084473,162.180.129.3,57.145.225.96,58.09,190,Endpoint Detection,Employee,Australia,9,Government,140,Block IP
DDoS,API,Success,2024-03-01 16:10:57.084476,60.152.227.27,231.130.51.30,1.95,81,SIEM,Contractor,Canada,1,Finance,3,Quarantine
DDoS,Network Switch,Success,2024-03-16 01:04:25.084479,65.91.19.204,154.207.201.74,10.95,157,Firewall,Contractor,Australia,6,Manufacturing,14,Quarantine
SQL Injection,Email Server,Success,2024-07-25 02:22:43.084482,192.115.22.111,94.128.21.53,74.13,236,WAF,Employee,Canada,1,Manufacturing,138,Containment
DDoS,User Account,Failure,2023-12-14 19:00:24.084485,171.40.9.70,85.162.155.123,30.86,43,Antivirus,External User,China,9,Finance,64,Patch
Brute Force,Cloud Service,Failure,2023-12-24 09:33:47.084488,174.243.64.226,83.35.232.202,14.15,239,SIEM,Employee,Australia,1,Government,110,Block IP
Ransomware,Database,Failure,2024-06-01 21:30:16.084491,61.77.52.45,68.44.79.70,75.88,183,Endpoint Detection,Employee,Australia,9,Government,49,Block IP
Ransomware,Database,Failure,2024-04-04 05:39:12.084494,11.248.189.248,74.56.213.29,32.63,7,Endpoint Detection,Admin,China,7,Finance,39,Containment
Zero-Day Exploit,Email Server,Success,2024-08-01 18:31:23.084499,23.150.188.56,99.45.71.204,32.2,128,SIEM,Employee,India,1,Finance,175,Patch
Phishing,Database,Failure,2023-10-01 13:00:17.084504,238.25.17.178,207.63.80.15,13.51,205,MFA,Contractor,Brazil,9,Technology,107,Block IP
Malware,User Account,Success,2023-11-10 13:48:09.084510,72.179.95.172,223.63.57.86,89.69,56,IDS,External User,Australia,6,Education,110,Block IP
Brute Force,Database,Success,2024-05-10 06:18:02.084515,50.10.14.53,150.120.29.182,27.54,91,VPN,Employee,Brazil,6,Energy,81,Patch
DDoS,Database,Success,2024-06-18 08:42:10.084520,186.38.234.189,247.128.226.206,69.69,158,VPN,External User,India,10,Manufacturing,59,Containment
DDoS,Cloud Service,Failure,2023-10-05 09:05:37.084525,64.49.152.183,81.175.166.83,65.84,9,Endpoint Detection,Admin,Canada,10,Energy,161,Patch
SQL Injection,Email Server,Success,2023-10-27 21:56:25.084530,229.46.17.138,41.12.232.2,31.22,141,Firewall,Admin,France,8,Technology,104,Quarantine
Brute Force,User Account,Success,2023-12-18 13:21:24.084535,187.139.119.229,204.111.131.128,73.16,116,Antivirus,Contractor,India,3,Education,91,Block IP
Zero-Day Exploit,Cloud Service,Failure,2024-06-30 16:28:58.084541,34.172.153.152,230.222.85.50,67.83,291,Antivirus,Employee,India,7,Energy,64,Block IP
Ransomware,Database,Success,2024-04-20 05:53:15.084546,123.158.53.99,232.216.170.250,43.28,39,IDS,Contractor,Brazil,5,Retail,92,Block IP
Cross-Site Scripting,IoT Device,Success,2024-01-27 13:08:41.084550,55.144.1.94,186.20.168.134,13.04,256,IDS,External User,USA,3,Government,52,Containment
SQL Injection,Web Server,Failure,2023-11-10 06:49:21.084553,222.201.150.120,173.223.251.96,62.98,267,VPN,External User,India,8,Energy,24,Quarantine
SQL Injection,Cloud Service,Failure,2024-04-02 08:12:07.084556,150.99.192.77,1.10.167.28,8.18,207,Endpoint Detection,Contractor,China,4,Retail,2,Quarantine
Brute Force,Cloud Service,Failure,2024-05-27 07:51:16.084561,82.204.85.207,84.152.240.235,12.14,208,IDS,Admin,India,6,Energy,132,Block IP
Cross-Site Scripting,API,Failure,2023-09-17 21:30:02.084564,155.30.178.235,232.25.101.7,14.08,192,Firewall,External User,Canada,2,Government,90,Quarantine
Phishing,Cloud Service,Success,2024-05-27 06:14:28.084569,82.231.66.33,112.22.39.165,9.04,86,Firewall,External User,Russia,5,Retail,127,Patch
Malware,Network Switch,Failure,2024-08-22 17:38:28.084575,237.185.152.11,236.28.0.1,67.04,55,MFA,External User,Canada,10,Energy,62,Reset Credentials
SQL Injection,IoT Device,Failure,2024-07-11 02:29:48.084580,149.2.68.53,216.81.241.7,11.5,163,SIEM,Contractor,Brazil,4,Education,153,Reset Credentials
Brute Force,User Account,Failure,2024-02-15 12:04:53.084586,65.12.128.113,89.137.51.64,41.54,148,SIEM,Employee,India,9,Retail,177,Reset Credentials
Cross-Site Scripting,Email Server,Success,2024-07-26 04:11:53.084591,197.217.170.32,40.246.21.180,70.21,232,WAF,Employee,Australia,7,Manufacturing,5,Quarantine
Phishing,Network Switch,Failure,2024-04-20 19:40:33.084597,140.184.42.122,234.148.112.209,36.16,247,VPN,External User,Brazil,6,Manufacturing,126,Quarantine
Phishing,Email Server,Failure,2024-05-13 02:42:25.084601,81.58.46.94,115.40.161.235,65.38,222,Antivirus,Contractor,Brazil,9,Technology,67,Block IP
Malware,Cloud Service,Success,2024-09-02 02:33:39.084603,18.167.81.16,12.11.24.134,89.46,50,IDS,External User,France,4,Finance,160,Block IP
Cross-Site Scripting,Web Server,Success,2024-09-03 17:19:59.084606,202.215.133.136,246.146.213.94,85.68,30,MFA,Employee,Russia,2,Healthcare,135,Block IP
Ransomware,Network Switch,Failure,2023-10-10 04:27:17.084609,63.193.22.217,181.57.154.71,39.28,254,SIEM,Contractor,China,10,Healthcare,173,Reset Credentials
Brute Force,Network Switch,Failure,2023-10-08 23:51:46.084613,41.232.252.155,73.37.29.122,73.26,173,Firewall,External User,China,5,Healthcare,53,Patch
Cross-Site Scripting,Database,Failure,2023-11-29 10:51:38.084617,66.49.109.181,147.137.43.73,31.72,217,WAF,Employee,India,6,Technology,95,Block IP
Cross-Site Scripting,Cloud Service,Success,2023-09-13 04:18:44.084621,77.104.247.196,86.145.105.148,23.43,70,Firewall,Admin,Australia,10,Healthcare,48,Reset Credentials
SQL Injection,Email Server,Success,2023-12-11 23:30:54.084624,217.45.146.43,221.128.29.207,97.21,35,MFA,Contractor,UK,8,Government,115,Containment
Zero-Day Exploit,Database,Failure,2023-12-14 17:12:27.084627,198.219.127.243,111.13.194.105,35.45,243,SIEM,Contractor,France,9,Finance,151,Patch
DDoS,IoT Device,Success,2024-02-24 13:35:31.084630,235.118.251.156,39.216.209.53,70.92,239,IDS,Contractor,Australia,5,Retail,42,Quarantine
Cross-Site Scripting,IoT Device,Failure,2024-05-27 04:59:31.084633,79.180.4.66,183.168.146.201,55.16,241,MFA,Admin,Russia,5,Manufacturing,9,Patch
SQL Injection,Network Switch,Success,2024-06-18 02:05:19.084636,39.51.216.110,255.181.167.39,2.17,147,Endpoint Detection,Contractor,China,1,Finance,135,Containment
Cross-Site Scripting,Email Server,Success,2023-09-07 17:17:57.084638,74.117.60.244,16.178.147.62,68.83,157,Firewall,Admin,Brazil,1,Healthcare,1,Containment
Brute Force,User Account,Failure,2023-10-22 20:03:22.084642,24.135.51.76,38.223.53.235,11.32,239,VPN,Employee,Canada,7,Education,100,Patch
Brute Force,Email Server,Failure,2024-06-14 07:44:06.084645,205.167.195.182,79.68.151.177,70.08,3,MFA,External User,France,7,Finance,93,Patch
Ransomware,IoT Device,Failure,2023-09-25 19:41:45.084648,169.69.218.21,42.127.16.213,44.36,111,SIEM,Admin,China,5,Energy,64,Quarantine
Zero-Day Exploit,Web Server,Success,2024-06-12 10:06:00.084651,10.97.115.89,173.51.51.44,50.42,41,VPN,Admin,India,8,Manufacturing,124,Patch
Cross-Site Scripting,API,Failure,2024-06-25 23:33:41.084655,37.25.148.142,222.141.153.87,14.74,8,SIEM,Admin,Canada,1,Government,40,Quarantine
Brute Force,Web Server,Success,2024-04-06 11:37:01.084658,159.32.196.171,117.73.186.176,89.09,269,Endpoint Detection,External User,Brazil,6,Healthcare,9,Block IP
Malware,Cloud Service,Success,2023-11-30 10:24:17.084661,77.93.118.186,33.206.218.169,76.85,99,VPN,Contractor,UK,3,Retail,176,Block IP
Brute Force,Database,Failure,2024-04-16 15:22:56.084664,198.166.31.68,109.90.184.16,36.79,130,MFA,External User,UK,5,Retail,88,Patch
Phishing,Database,Success,2023-12-20 19:16:56.084667,225.27.235.26,152.80.191.4,80.63,29,IDS,Employee,UK,3,Energy,115,Reset Credentials
Phishing,Cloud Service,Failure,2024-06-12 16:39:22.084670,165.141.169.95,9.11.179.63,77.88,300,MFA,Admin,Australia,5,Retail,163,Containment
Zero-Day Exploit,API,Success,2023-09-21 15:18:00.084673,254.4.160.111,157.250.68.125,61.22,180,VPN,Contractor,China,3,Energy,161,Quarantine
Malware,API,Success,2023-09-10 08:44:54.084677,171.12.120.197,83.100.54.175,21.31,138,SIEM,Contractor,USA,8,Retail,58,Patch
Phishing,Cloud Service,Success,2024-03-13 17:44:21.084680,236.158.230.64,79.8.191.175,28.68,58,Endpoint Detection,Admin,Brazil,10,Retail,175,Reset Credentials
Cross-Site Scripting,Database,Success,2024-07-17 14:13:47.084683,245.23.77.150,235.11.63.13,21.59,141,IDS,Contractor,China,6,Manufacturing,101,Quarantine
Phishing,API,Success,2023-10-01 08:57:12.084686,107.103.91.32,61.210.76.15,81.61,107,WAF,Employee,India,6,Energy,80,Quarantine
Ransomware,API,Failure,2024-01-14 13:05:04.084690,48.179.53.206,116.7.168.238,30.46,188,MFA,Employee,Brazil,1,Education,116,Block IP
Cross-Site Scripting,API,Failure,2024-05-02 11:19:32.084693,100.195.161.212,56.123.56.253,76.84,68,SIEM,External User,China,4,Education,87,Reset Credentials
Zero-Day Exploit,Cloud Service,Failure,2023-10-10 05:27:37.084696,25.169.220.184,164.194.181.155,36.5,239,Antivirus,External User,India,2,Education,44,Reset Credentials
Phishing,API,Failure,2024-03-19 02:41:17.084699,91.52.214.192,135.57.59.212,99.84,284,VPN,External User,Australia,9,Energy,101,Quarantine
Ransomware,Email Server,Failure,2024-04-29 15:03:48.084702,117.63.199.59,31.125.121.202,90.11,113,SIEM,Admin,USA,3,Education,34,Reset Credentials
SQL Injection,Web Server,Failure,2023-12-20 14:41:53.084705,253.115.140.11,135.141.43.205,35.72,159,WAF,External User,USA,10,Government,46,Block IP
Phishing,Database,Failure,2024-03-07 20:55:32.084708,169.85.188.140,90.36.104.229,86.46,196,Antivirus,External User,UK,9,Manufacturing,82,Patch
Cross-Site Scripting,Database,Success,2023-10-06 02:47:27.084711,48.45.112.223,168.227.252.187,96.34,110,Endpoint Detection,Admin,UK,2,Healthcare,42,Containment
SQL Injection,IoT Device,Failure,2024-01-15 01:01:18.084714,148.56.142.240,79.21.69.115,93.25,290,IDS,Employee,UK,9,Manufacturing,153,Containment
Zero-Day Exploit,Network Switch,Success,2023-12-10 16:07:49.084717,198.143.21.16,42.225.95.8,62.75,30,VPN,External User,UK,4,Government,108,Patch
Malware,Network Switch,Success,2024-08-13 06:31:14.084720,185.80.132.167,49.30.251.108,19.9,264,Endpoint Detection,External User,Canada,8,Energy,72,Patch
SQL Injection,User Account,Success,2024-05-21 03:40:50.084723,255.25.17.206,203.207.115.41,66.61,162,Antivirus,External User,Germany,4,Finance,32,Block IP
Phishing,Cloud Service,Success,2023-11-30 03:42:48.084726,19.69.22.70,92.156.64.31,10.64,192,IDS,External User,India,4,Healthcare,68,Containment
Ransomware,Web Server,Success,2024-05-30 23:19:31.084729,235.164.88.155,68.233.146.41,68.21,63,Firewall,Admin,Russia,6,Government,21,Quarantine
SQL Injection,Email Server,Success,2024-07-31 05:53:10.084732,61.32.231.218,80.90.32.97,2.46,229,Antivirus,Contractor,France,6,Healthcare,70,Containment
Ransomware,IoT Device,Success,2024-04-30 11:53:30.084735,215.137.200.42,169.77.66.103,47.36,122,Endpoint Detection,Employee,UK,4,Manufacturing,101,Containment
Zero-Day Exploit,IoT Device,Success,2024-05-18 05:26:09.084738,140.118.122.188,12.35.101.24,84.38,65,VPN,External User,China,8,Education,68,Containment
Cross-Site Scripting,API,Failure,2024-03-28 03:38:01.084741,94.58.246.196,4.2.165.218,53.71,31,IDS,Contractor,China,3,Technology,40,Quarantine
Brute Force,Web Server,Success,2024-01-24 01:46:21.084744,26.130.26.200,110.128.29.208,80.8,68,Firewall,Contractor,UK,6,Government,158,Patch
Zero-Day Exploit,Web Server,Failure,2024-06-17 22:55:58.084746,218.57.140.133,226.36.73.145,32.92,39,VPN,Contractor,China,6,Healthcare,42,Patch
Malware,User Account,Success,2023-12-06 18:16:07.084749,222.60.20.78,103.142.4.50,83.0,239,VPN,External User,Germany,6,Government,153,Block IP
Cross-Site Scripting,Web Server,Success,2023-11-19 14:53:59.084752,79.170.204.240,68.229.140.102,0.09,145,Endpoint Detection,External User,Canada,1,Healthcare,52,Quarantine
Zero-Day Exploit,IoT Device,Success,2023-10-26 00:29:04.084755,141.180.216.106,7.94.140.46,38.74,4,MFA,Admin,Australia,10,Government,131,Reset Credentials
Malware,API,Failure,2024-08-16 11:20:01.084758,119.35.222.202,198.190.164.0,21.13,99,VPN,Admin,France,5,Manufacturing,131,Block IP
Phishing,Web Server,Success,2024-01-15 05:12:59.084761,253.151.107.127,252.116.135.177,71.68,212,VPN,External User,China,8,Energy,180,Quarantine
Brute Force,Cloud Service,Success,2023-11-28 13:19:38.084764,102.182.179.24,65.130.152.252,46.03,77,Antivirus,External User,India,5,Healthcare,180,Quarantine
SQL Injection,Network Switch,Success,2024-08-31 19:46:57.084767,13.87.82.235,51.122.218.140,14.86,152,IDS,Employee,Canada,5,Technology,98,Containment
Ransomware,IoT Device,Success,2023-12-16 11:44:30.084770,83.205.141.28,101.202.76.120,78.48,44,SIEM,Admin,UK,6,Manufacturing,89,Quarantine
DDoS,Web Server,Failure,2024-07-21 05:21:46.084773,160.83.132.111,240.192.140.87,64.49,61,Antivirus,Employee,Brazil,6,Technology,25,Containment
SQL Injection,Cloud Service,Success,2023-12-25 00:11:30.084776,68.154.33.96,227.176.242.239,36.74,285,WAF,Admin,UK,9,Education,166,Block IP
Zero-Day Exploit,Database,Failure,2023-12-16 15:33:56.084779,239.182.171.27,124.14.104.104,52.22,56,IDS,Admin,India,7,Retail,37,Quarantine
Phishing,Web Server,Failure,2024-08-02 05:43:33.084782,45.47.248.96,173.47.176.103,26.24,94,Antivirus,Contractor,India,1,Technology,93,Block IP
Malware,Email Server,Success,2024-02-04 14:13:14.084785,98.63.10.58,52.121.194.62,52.52,167,VPN,External User,Brazil,9,Energy,117,Block IP
Phishing,Web Server,Failure,2024-05-19 14:58:06.084788,59.253.189.82,85.28.235.26,8.41,65,Antivirus,Employee,Brazil,2,Energy,162,Reset Credentials
Zero-Day Exploit,Web Server,Success,2024-03-30 20:38:05.084791,24.38.247.4,56.97.197.89,45.5,196,IDS,External User,China,6,Healthcare,32,Block IP
SQL Injection,Web Server,Success,2024-06-17 06:55:21.084794,141.233.127.201,212.8.176.183,32.69,288,WAF,External User,France,6,Government,119,Block IP
Brute Force,API,Success,2024-02-06 03:48:55.084798,153.70.209.167,24.137.171.213,95.26,223,MFA,Contractor,China,8,Retail,2,Patch
